VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2015,2015,11.97,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2016,2016,12,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2006,2006,9.99,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2007,2007,8.75,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2008,2008,9.11,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2009,2009,8.73,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2010,2010,9.48,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2011,2011,10.02,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2012,2012,9.55,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2013,2013,10.36,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2014,2014,10.14,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2015,2015,10.15,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),HUN,Hungary,2016,2016,10.14,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2007,2007,16.04,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2008,2008,15.87,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2009,2009,15.22,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2010,2010,14.84,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2011,2011,14.65,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2012,2012,14.39,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2013,2013,14.3,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2014,2014,14.43,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2015,2015,14.72,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2016,2016,15.05,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISL,Iceland,2017,2017,15.23,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2000,2000,9.81,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2001,2001,10.7,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2002,2002,11.18,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2003,2003,11.11,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2004,2004,11.26,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2005,2005,11.5,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2006,2006,11.69,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2007,2007,11.92,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2008,2008,11.52,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2009,2009,11.24,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2010,2010,10.91,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2011,2011,10.74,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2012,2012,10.5,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2013,2013,10.37,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2014,2014,10.68,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2015,2015,11.17,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2016,2016,11.39,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),IRL,Ireland,2017,2017,11.76,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2002,2002,12.85,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2003,2003,12.89,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2004,2004,13,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2005,2005,13.1,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2006,2006,13.35,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2007,2007,13.56,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2008,2008,13.83,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2009,2009,14.22,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2010,2010,14.59,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2011,2011,14.94,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2012,2012,15.35,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2013,2013,15.72,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2014,2014,16.06,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2015,2015,16.36,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),JPN,Japan,2016,2016,16.61,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LUX,Luxembourg,2000,2000,10.19,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LUX,Luxembourg,2001,2001,10.4,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LUX,Luxembourg,2002,2002,10.65,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LUX,Luxembourg,2003,2003,10.94,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LUX,Luxembourg,2004,2004,11.13,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LUX,Luxembourg,2005,2005,11.19,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LUX,Luxembourg,2006,2006,11.13,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LUX,Luxembourg,2007,2007,11.22,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LUX,Luxembourg,2008,2008,11.23,E,Estimated value
